frame_id,timestamp_seconds,is_violent,confidence,ground_truth_violent,capture_confidence_floor
1,0.000000,True,0.824319,False,0.250000
2,0.041667,True,0.812151,False,0.250000
3,0.083333,True,0.814077,False,0.250000
4,0.125000,True,0.823443,False,0.250000
5,0.166667,True,0.790217,False,0.250000
6,0.208333,True,0.695050,False,0.250000
7,0.250000,True,0.624378,False,0.250000
8,0.291667,True,0.561990,False,0.250000
9,0.333333,True,0.501515,False,0.250000
10,0.375000,True,0.641526,False,0.250000
11,0.416667,False,0.000000,False,0.250000
12,0.458333,False,0.000000,False,0.250000
13,0.500000,False,0.000000,False,0.250000
14,0.541667,False,0.000000,False,0.250000
15,0.583333,False,0.000000,False,0.250000
16,0.625000,False,0.000000,False,0.250000
17,0.666667,False,0.000000,False,0.250000
18,0.708333,False,0.000000,False,0.250000
19,0.750000,False,0.000000,False,0.250000
20,0.791667,False,0.000000,False,0.250000
21,0.833333,False,0.000000,False,0.250000
22,0.875000,False,0.000000,False,0.250000
23,0.916667,False,0.000000,False,0.250000
24,0.958333,False,0.000000,False,0.250000
25,1.000000,False,0.000000,False,0.250000
26,1.041667,False,0.000000,False,0.250000
27,1.083333,False,0.000000,False,0.250000
28,1.125000,False,0.000000,False,0.250000
29,1.166667,False,0.000000,False,0.250000
30,1.208333,True,0.440922,False,0.250000
31,1.250000,False,0.000000,False,0.250000
32,1.291667,False,0.000000,False,0.250000
33,1.333333,False,0.000000,False,0.250000
34,1.375000,True,0.696006,False,0.250000
35,1.416667,True,0.532099,False,0.250000
36,1.458333,True,0.455537,False,0.250000
37,1.500000,False,0.000000,False,0.250000
38,1.541667,True,0.450530,False,0.250000
39,1.583333,True,0.512615,False,0.250000
40,1.625000,True,0.658854,False,0.250000
41,1.666667,True,0.574192,False,0.250000
42,1.708333,True,0.520436,False,0.250000
43,1.750000,True,0.376024,False,0.250000
44,1.791667,False,0.000000,False,0.250000
45,1.833333,False,0.000000,False,0.250000
46,1.875000,False,0.000000,False,0.250000
47,1.916667,False,0.000000,False,0.250000
48,1.958333,False,0.000000,False,0.250000
49,2.000000,False,0.000000,False,0.250000
50,2.041667,False,0.000000,False,0.250000
51,2.083333,False,0.000000,False,0.250000
52,2.125000,False,0.000000,False,0.250000
53,2.166667,False,0.000000,False,0.250000
54,2.208333,False,0.000000,False,0.250000
55,2.250000,False,0.000000,False,0.250000
56,2.291667,False,0.000000,False,0.250000
57,2.333333,False,0.000000,False,0.250000
58,2.375000,True,0.447092,False,0.250000
59,2.416667,True,0.604476,False,0.250000
60,2.458333,True,0.529462,False,0.250000
61,2.500000,True,0.540102,False,0.250000
62,2.541667,False,0.000000,False,0.250000
63,2.583333,False,0.000000,False,0.250000
64,2.625000,False,0.000000,False,0.250000
65,2.666667,False,0.000000,False,0.250000
66,2.708333,False,0.000000,False,0.250000
67,2.750000,False,0.000000,False,0.250000
68,2.791667,True,0.381519,False,0.250000
69,2.833333,False,0.000000,False,0.250000
70,2.875000,True,0.606156,False,0.250000
71,2.916667,True,0.639700,False,0.250000
72,2.958333,True,0.394877,False,0.250000
73,3.000000,False,0.000000,False,0.250000
74,3.041667,False,0.000000,False,0.250000
75,3.083333,False,0.000000,False,0.250000
76,3.125000,False,0.000000,False,0.250000
77,3.166667,False,0.000000,False,0.250000
78,3.208333,False,0.000000,False,0.250000
79,3.250000,False,0.000000,False,0.250000
80,3.291667,False,0.000000,False,0.250000
81,3.333333,False,0.000000,False,0.250000
82,3.375000,False,0.000000,False,0.250000
83,3.416667,False,0.000000,False,0.250000
84,3.458333,False,0.000000,False,0.250000
85,3.500000,False,0.000000,False,0.250000
86,3.541667,False,0.000000,False,0.250000
87,3.583333,False,0.000000,False,0.250000
88,3.625000,False,0.000000,False,0.250000
89,3.666667,False,0.000000,False,0.250000
90,3.708333,False,0.000000,False,0.250000
91,3.750000,False,0.000000,False,0.250000
92,3.791667,False,0.000000,False,0.250000
93,3.833333,False,0.000000,False,0.250000
94,3.875000,False,0.000000,False,0.250000
95,3.916667,False,0.000000,False,0.250000
96,3.958333,False,0.000000,False,0.250000
97,4.000000,False,0.000000,False,0.250000
98,4.041667,False,0.000000,False,0.250000
99,4.083333,False,0.000000,False,0.250000
100,4.125000,False,0.000000,False,0.250000
101,4.166667,False,0.000000,False,0.250000
102,4.208333,True,0.511348,False,0.250000
103,4.250000,True,0.714580,False,0.250000
104,4.291667,True,0.715509,False,0.250000
105,4.333333,True,0.721448,False,0.250000
106,4.375000,True,0.723397,False,0.250000
107,4.416667,True,0.745487,False,0.250000
108,4.458333,True,0.707917,False,0.250000
109,4.500000,True,0.648275,False,0.250000
110,4.541667,True,0.570777,False,0.250000
111,4.583333,True,0.746366,False,0.250000
112,4.625000,True,0.424983,False,0.250000
113,4.666667,False,0.000000,False,0.250000
114,4.708333,False,0.000000,False,0.250000
115,4.750000,False,0.000000,False,0.250000
116,4.791667,False,0.000000,False,0.250000
117,4.833333,False,0.000000,False,0.250000
118,4.875000,False,0.000000,False,0.250000
119,4.916667,False,0.000000,False,0.250000
120,4.958333,False,0.000000,False,0.250000
121,5.000000,False,0.000000,False,0.250000
122,5.041667,False,0.000000,False,0.250000
123,5.083333,False,0.000000,False,0.250000
124,5.125000,False,0.000000,False,0.250000
125,5.166667,False,0.000000,False,0.250000
126,5.208333,False,0.000000,False,0.250000
127,5.250000,False,0.000000,False,0.250000
128,5.291667,False,0.000000,False,0.250000
129,5.333333,False,0.000000,False,0.250000
130,5.375000,False,0.000000,False,0.250000
131,5.416667,False,0.000000,False,0.250000
132,5.458333,False,0.000000,False,0.250000
133,5.500000,False,0.000000,False,0.250000
134,5.541667,False,0.000000,False,0.250000
135,5.583333,False,0.000000,False,0.250000
136,5.625000,False,0.000000,False,0.250000
137,5.666667,False,0.000000,False,0.250000
138,5.708333,False,0.000000,False,0.250000
139,5.750000,False,0.000000,False,0.250000
140,5.791667,False,0.000000,False,0.250000
141,5.833333,False,0.000000,False,0.250000
